record_id,mine_id,violation_count,overdue_actions,inspection_score,maintenance_delay_days,equipment_failure_count,contractor_violations,contractor_compliance_score,environmental_issues,risk_score,risk_level
HIST_0128,M008,11,3,81,12,3,6,47,5,100,CRITICAL
HIST_0129,M009,11,6,69,21,2,7,47,2,100,CRITICAL
HIST_0130,M001,9,5,100,3,7,1,78,7,100,CRITICAL
HIST_0131,M006,11,2,71,27,2,1,75,4,100,CRITICAL
HIST_0132,M008,9,6,86,2,5,8,69,5,100,CRITICAL
HIST_0133,M007,8,0,84,2,3,4,59,1,64.25,HIGH
HIST_0134,M001,1,10,90,27,1,7,55,4,100,CRITICAL
HIST_0135,M003,0,5,95,1,4,5,68,6,73.45,HIGH
HIST_0136,M010,3,8,71,18,2,2,56,1,97.75,CRITICAL
HIST_0137,M005,6,9,88,7,7,2,59,7,100,CRITICAL
HIST_0138,M003,7,4,87,0,7,4,88,8,99.55,CRITICAL
HIST_0139,M008,1,7,67,18,4,6,89,4,100,CRITICAL
HIST_0140,M010,4,3,69,27,7,1,60,6,100,CRITICAL
HIST_0141,M005,5,9,63,22,4,0,98,6,100,CRITICAL
HIST_0142,M004,0,9,100,21,0,7,98,4,91.2,CRITICAL
HIST_0143,M002,9,5,59,20,3,4,88,2,100,CRITICAL
HIST_0144,M003,10,10,47,9,7,0,82,5,100,CRITICAL
HIST_0145,M009,1,4,65,23,6,2,57,2,98.6,CRITICAL
HIST_0146,M005,5,8,77,29,4,2,61,7,100,CRITICAL
HIST_0147,M007,11,5,96,3,7,1,54,3,100,CRITICAL
HIST_0148,M002,12,8,68,2,6,0,61,8,100,CRITICAL
HIST_0149,M002,7,5,88,23,4,6,97,5,100,CRITICAL
HIST_0150,M002,10,3,75,0,8,5,84,3,100,CRITICAL
HIST_0151,M001,10,7,89,9,6,1,53,0,100,CRITICAL
HIST_0152,M008,4,7,52,3,3,8,53,6,100,CRITICAL
HIST_0153,M007,5,10,92,22,8,6,82,2,100,CRITICAL
HIST_0154,M004,10,1,98,15,6,4,47,5,100,CRITICAL
HIST_0155,M009,7,7,60,27,5,1,88,5,100,CRITICAL
HIST_0156,M002,10,5,48,12,4,3,52,7,100,CRITICAL
HIST_0157,M004,10,3,86,20,0,0,95,5,87.15,CRITICAL
HIST_0158,M004,2,9,58,2,8,3,82,3,100,CRITICAL
HIST_0159,M003,5,2,95,28,0,4,99,2,74.6,HIGH
HIST_0160,M006,8,4,96,5,1,0,53,0,62.15,HIGH
HIST_0161,M003,12,3,82,10,0,2,61,0,81.05,CRITICAL
HIST_0162,M009,11,6,78,3,1,7,73,5,100,CRITICAL
HIST_0163,M005,9,1,73,16,3,0,91,8,94.9,CRITICAL
HIST_0164,M008,7,10,46,1,7,6,72,1,100,CRITICAL
HIST_0165,M002,11,7,49,28,1,5,83,2,100,CRITICAL
HIST_0166,M005,2,4,84,20,8,5,69,8,100,CRITICAL
HIST_0167,M004,7,8,83,13,1,1,99,8,100,CRITICAL
HIST_0168,M002,6,7,59,13,5,7,70,6,100,CRITICAL
HIST_0169,M002,5,6,65,21,4,5,54,7,100,CRITICAL
HIST_0170,M009,1,1,50,13,1,5,96,2,62.6,HIGH
HIST_0171,M007,0,9,80,17,5,1,71,5,100,CRITICAL
HIST_0172,M004,11,0,63,19,4,5,51,8,100,CRITICAL
HIST_0173,M006,2,10,75,7,1,5,99,8,100,CRITICAL
HIST_0174,M001,1,4,81,7,6,8,94,8,97.55,CRITICAL
HIST_0175,M005,9,10,98,22,4,0,56,4,100,CRITICAL
HIST_0176,M001,5,5,45,5,2,6,49,2,100,CRITICAL
HIST_0177,M006,1,8,58,12,6,7,66,2,100,CRITICAL
HIST_0178,M010,4,5,94,30,1,0,54,2,90.6,CRITICAL
HIST_0179,M007,0,10,50,8,7,6,76,7,100,CRITICAL
HIST_0180,M005,4,3,93,16,1,5,72,1,71.15,HIGH
HIST_0181,M007,10,10,82,15,8,4,47,3,100,CRITICAL
HIST_0182,M005,9,0,45,6,4,3,94,2,80.45,CRITICAL
HIST_0183,M007,4,5,52,0,7,6,56,2,100,CRITICAL
HIST_0184,M007,8,3,77,17,5,1,70,0,89.45,CRITICAL
HIST_0185,M007,0,7,49,27,5,6,81,6,100,CRITICAL
HIST_0186,M006,4,1,70,0,5,2,96,7,68.5,HIGH
HIST_0187,M009,1,6,99,3,3,6,82,6,77.45,CRITICAL
HIST_0188,M002,1,6,100,9,5,3,66,2,74.8,HIGH
HIST_0189,M006,8,10,52,16,8,3,94,5,100,CRITICAL
HIST_0190,M004,11,10,97,4,3,1,54,4,100,CRITICAL
HIST_0191,M008,2,9,54,24,1,2,94,7,100,CRITICAL
HIST_0192,M003,12,9,93,18,7,5,100,5,100,CRITICAL
HIST_0193,M006,7,1,75,14,4,4,82,0,77.05,CRITICAL
HIST_0194,M005,8,1,64,14,7,0,48,5,100,CRITICAL
HIST_0195,M010,1,10,100,27,1,8,69,7,100,CRITICAL
HIST_0196,M009,8,0,73,29,3,5,83,7,100,CRITICAL
HIST_0197,M001,2,0,73,3,5,1,77,2,48.3,MEDIUM
HIST_0198,M005,3,7,73,16,8,2,68,5,100,CRITICAL
HIST_0199,M002,6,6,94,10,0,5,49,5,96.35,CRITICAL
HIST_0200,M010,8,10,69,9,4,2,66,1,100,CRITICAL
HIST_0201,M005,10,2,67,9,6,2,83,1,90.6,CRITICAL
HIST_0202,M002,8,6,86,25,5,2,87,8,100,CRITICAL
HIST_0203,M003,10,10,72,16,5,0,68,4,100,CRITICAL
HIST_0204,M002,3,5,94,15,3,3,53,2,83.35,CRITICAL
HIST_0205,M010,4,1,77,24,8,8,47,5,100,CRITICAL
HIST_0206,M008,2,9,69,4,2,2,98,2,75.15,CRITICAL
HIST_0207,M008,0,6,68,21,3,7,84,4,100,CRITICAL
HIST_0208,M008,3,8,60,9,7,3,68,7,100,CRITICAL
HIST_0209,M004,12,4,94,12,8,8,71,2,100,CRITICAL
HIST_0210,M006,12,9,53,27,4,0,86,7,100,CRITICAL
HIST_0211,M003,8,1,90,27,8,1,63,1,100,CRITICAL
HIST_0212,M006,4,7,77,4,6,1,59,7,100,CRITICAL
HIST_0213,M002,0,6,48,12,8,5,60,6,100,CRITICAL
HIST_0214,M003,5,3,46,10,1,5,95,2,80.65,CRITICAL
HIST_0215,M002,0,4,98,15,2,7,73,0,64.95,HIGH
HIST_0216,M007,0,4,58,26,2,8,91,8,100,CRITICAL
HIST_0217,M010,1,4,60,9,1,0,60,6,74.8,HIGH
HIST_0218,M010,7,1,52,26,7,8,46,8,100,CRITICAL
HIST_0219,M003,3,2,63,13,0,5,60,6,86.05,CRITICAL
HIST_0220,M009,10,10,50,16,5,1,78,8,100,CRITICAL
HIST_0221,M006,12,8,80,0,6,7,47,6,100,CRITICAL
HIST_0222,M010,4,0,67,25,1,5,60,1,82.05,CRITICAL
HIST_0223,M008,11,5,53,1,5,8,66,2,100,CRITICAL
HIST_0224,M001,11,7,85,5,2,1,90,7,100,CRITICAL
HIST_0225,M009,4,3,47,25,3,0,65,4,100,CRITICAL
HIST_0226,M001,6,8,75,8,0,3,63,5,100,CRITICAL
HIST_0227,M007,10,5,62,3,5,6,70,7,100,CRITICAL
HIST_0228,M005,5,2,76,22,7,5,96,8,100,CRITICAL
HIST_0229,M009,12,1,91,13,1,6,83,2,87.0,CRITICAL
HIST_0230,M010,4,5,51,2,5,4,64,7,100,CRITICAL
HIST_0231,M006,11,6,55,22,7,5,73,0,100,CRITICAL
HIST_0232,M006,9,6,62,20,0,1,87,6,100,CRITICAL
HIST_0233,M001,8,10,55,30,0,2,99,7,100,CRITICAL
HIST_0234,M010,2,1,60,24,5,5,69,0,88.05,CRITICAL
HIST_0235,M010,2,10,73,30,5,5,73,1,100,CRITICAL
HIST_0236,M001,2,8,68,12,5,4,60,1,100,CRITICAL
HIST_0237,M005,11,2,76,16,6,8,52,4,100,CRITICAL
HIST_0238,M003,11,7,58,19,4,7,57,1,100,CRITICAL
HIST_0239,M006,1,7,56,28,7,1,96,5,100,CRITICAL
HIST_0240,M003,11,1,80,17,4,4,99,2,92.65,CRITICAL
HIST_0241,M004,12,5,77,7,1,3,95,2,90.2,CRITICAL
HIST_0242,M003,12,7,46,11,8,5,74,8,100,CRITICAL
HIST_0243,M007,9,1,49,9,6,7,78,6,100,CRITICAL
HIST_0244,M006,9,1,53,10,1,7,74,8,100,CRITICAL
HIST_0245,M001,2,8,85,18,2,2,72,8,100,CRITICAL
HIST_0246,M006,1,8,54,9,2,2,65,3,90.65,CRITICAL
HIST_0247,M005,8,4,99,2,4,3,85,8,90.0,CRITICAL
HIST_0248,M010,2,10,64,19,8,1,77,2,100,CRITICAL
HIST_0249,M002,9,2,55,21,5,0,97,0,91.7,CRITICAL
HIST_0250,M010,0,10,94,18,4,3,94,6,100,CRITICAL
HIST_0251,M008,10,0,76,28,8,4,86,4,100,CRITICAL
HIST_0252,M003,3,10,70,9,7,1,89,0,96.55,CRITICAL
HIST_0253,M006,7,6,75,14,3,5,83,2,100,CRITICAL
HIST_0254,M009,11,5,91,27,5,6,53,5,100,CRITICAL
HIST_0255,M004,8,1,65,7,7,1,62,7,100,CRITICAL
HIST_0256,M006,2,1,48,9,6,6,60,2,88.0,CRITICAL
HIST_0257,M008,9,5,57,24,2,7,77,7,100,CRITICAL
HIST_0258,M004,4,7,46,2,6,8,74,3,100,CRITICAL
HIST_0259,M005,9,5,48,1,4,7,83,7,100,CRITICAL
HIST_0260,M007,8,0,99,3,6,2,61,5,75.7,CRITICAL
HIST_0261,M005,5,0,70,1,8,3,68,8,90.2,CRITICAL
HIST_0262,M003,1,6,77,14,8,4,97,1,89.6,CRITICAL
HIST_0263,M004,1,6,68,25,5,8,68,2,100,CRITICAL
HIST_0264,M006,9,8,70,16,0,0,47,2,100,CRITICAL
HIST_0265,M010,12,7,78,14,2,8,53,5,100,CRITICAL
HIST_0266,M009,5,2,70,19,4,5,77,8,100,CRITICAL
HIST_0267,M007,7,9,64,15,0,5,66,1,100,CRITICAL
HIST_0268,M001,9,4,95,28,0,7,61,3,100,CRITICAL
HIST_0269,M001,9,7,55,16,6,2,97,3,100,CRITICAL
HIST_0270,M007,9,1,57,0,7,5,71,2,92.8,CRITICAL
HIST_0271,M009,11,3,71,16,7,0,90,2,100,CRITICAL
HIST_0272,M003,3,8,65,21,7,8,69,5,100,CRITICAL
HIST_0273,M004,7,8,66,17,5,4,84,7,100,CRITICAL
HIST_0274,M004,3,4,80,9,3,4,94,4,75.3,CRITICAL
HIST_0275,M005,11,7,65,15,5,8,95,4,100,CRITICAL
HIST_0276,M003,1,9,88,17,6,6,97,5,100,CRITICAL
HIST_0277,M008,4,0,63,30,1,5,73,4,95.2,CRITICAL
HIST_0278,M003,3,3,97,17,4,8,89,4,89.2,CRITICAL
HIST_0279,M004,1,9,92,18,3,3,48,8,100,CRITICAL
HIST_0280,M002,10,3,48,3,6,5,90,7,100,CRITICAL
HIST_0281,M008,10,2,45,30,8,2,71,7,100,CRITICAL
HIST_0282,M002,10,3,93,30,4,5,63,0,100,CRITICAL
HIST_0283,M001,10,9,59,17,0,2,71,2,100,CRITICAL
HIST_0284,M010,6,7,56,29,4,0,45,4,100,CRITICAL
HIST_0285,M003,9,1,66,9,7,8,78,7,100,CRITICAL
HIST_0286,M005,8,7,62,6,1,5,55,7,100,CRITICAL
HIST_0287,M003,11,2,45,23,5,4,81,3,100,CRITICAL
HIST_0288,M007,9,10,70,26,6,8,65,1,100,CRITICAL
HIST_0289,M005,10,1,56,4,7,5,60,0,97.7,CRITICAL
HIST_0290,M005,6,3,73,24,4,5,64,0,100,CRITICAL
HIST_0291,M003,10,5,89,7,0,1,74,4,83.25,CRITICAL
HIST_0292,M006,6,10,77,29,4,1,85,4,100,CRITICAL
HIST_0293,M010,9,3,59,30,2,7,54,7,100,CRITICAL
HIST_0294,M004,5,6,89,17,7,8,96,3,100,CRITICAL
HIST_0295,M006,10,9,100,25,1,8,73,8,100,CRITICAL
HIST_0296,M003,1,9,52,1,8,8,57,8,100,CRITICAL
HIST_0297,M010,2,5,99,16,7,1,88,3,81.05,CRITICAL
HIST_0298,M007,7,1,77,14,0,7,53,8,100,CRITICAL
HIST_0299,M007,7,9,48,17,7,4,91,0,100,CRITICAL
HIST_0300,M002,4,0,92,6,1,0,72,5,47.0,MEDIUM
HIST_0301,M003,8,0,49,29,7,0,63,6,100,CRITICAL
HIST_0302,M007,12,2,94,20,6,5,69,7,100,CRITICAL
HIST_0303,M002,6,1,88,30,8,2,86,5,100,CRITICAL
HIST_0304,M001,2,8,70,16,2,3,98,0,81.7,CRITICAL
HIST_0305,M004,4,7,88,23,8,6,79,6,100,CRITICAL
HIST_0306,M001,3,7,67,4,4,3,91,1,78.1,CRITICAL
HIST_0307,M002,12,10,71,19,0,3,58,1,100,CRITICAL
HIST_0308,M007,9,0,73,19,0,3,92,0,68.75,HIGH
HIST_0309,M004,7,3,79,6,0,2,77,4,70.3,HIGH
HIST_0310,M009,11,9,65,18,5,3,64,2,100,CRITICAL
HIST_0311,M007,3,6,64,8,0,8,82,2,85.7,CRITICAL
HIST_0312,M007,8,7,48,11,6,8,65,6,100,CRITICAL
HIST_0313,M005,2,4,69,5,8,7,60,3,99.35,CRITICAL
HIST_0314,M009,11,2,96,14,0,8,71,6,100,CRITICAL
HIST_0315,M008,8,2,69,7,4,3,66,1,82.25,CRITICAL
HIST_0316,M010,5,1,79,23,3,0,62,6,90.45,CRITICAL
HIST_0317,M004,9,0,100,2,3,8,58,7,89.9,CRITICAL
HIST_0318,M004,5,4,45,6,3,1,92,7,91.95,CRITICAL
HIST_0319,M005,11,9,90,6,6,3,80,5,100,CRITICAL
HIST_0320,M009,6,7,79,20,5,4,61,5,100,CRITICAL
HIST_0321,M006,7,7,51,25,7,5,58,5,100,CRITICAL
HIST_0322,M009,6,0,81,27,3,2,46,4,96.55,CRITICAL
HIST_0323,M004,9,9,91,13,4,2,57,5,100,CRITICAL
HIST_0324,M005,6,9,98,7,7,8,86,5,100,CRITICAL
HIST_0325,M003,12,7,91,20,7,7,55,5,100,CRITICAL
HIST_0326,M002,2,8,76,5,8,0,78,0,81.9,CRITICAL
HIST_0327,M002,10,0,93,0,6,2,98,3,64.95,HIGH
HIST_0328,M010,11,2,45,6,8,7,68,0,100,CRITICAL
HIST_0329,M009,10,10,84,29,7,7,46,0,100,CRITICAL
HIST_0330,M001,8,6,45,0,8,4,79,4,100,CRITICAL
HIST_0331,M003,8,10,72,25,2,1,51,8,100,CRITICAL
HIST_0332,M002,3,3,84,16,4,5,62,6,97.8,CRITICAL
HIST_0333,M001,5,6,74,18,3,3,64,1,98.2,CRITICAL
HIST_0334,M003,1,6,69,12,8,7,48,0,100,CRITICAL
HIST_0335,M004,1,7,99,13,5,1,78,0,69.95,HIGH
HIST_0336,M009,3,9,75,8,0,1,88,4,80.85,CRITICAL
HIST_0337,M007,9,10,47,5,5,0,58,2,100,CRITICAL
HIST_0338,M006,1,4,55,18,3,6,88,8,100,CRITICAL
HIST_0339,M001,6,2,95,22,1,8,92,5,94.15,CRITICAL
HIST_0340,M006,1,6,59,26,1,5,83,6,100,CRITICAL
HIST_0341,M009,0,10,62,25,7,7,59,5,100,CRITICAL
HIST_0342,M004,6,6,56,21,6,1,94,4,100,CRITICAL
HIST_0343,M007,11,1,50,8,2,6,90,2,93.6,CRITICAL
HIST_0344,M005,5,5,51,2,0,4,73,5,86.3,CRITICAL
HIST_0345,M009,1,2,50,5,6,7,80,8,99.0,CRITICAL
HIST_0346,M007,6,1,46,2,5,8,50,5,100,CRITICAL
HIST_0347,M003,0,4,71,12,1,8,60,8,97.55,CRITICAL
HIST_0348,M003,10,6,55,4,4,4,62,7,100,CRITICAL
HIST_0349,M006,1,2,72,8,6,4,75,1,67.65,HIGH
HIST_0350,M003,4,3,91,20,7,3,74,1,89.15,CRITICAL
HIST_0351,M007,4,0,70,10,6,5,73,5,86.75,CRITICAL
HIST_0352,M003,10,9,53,9,5,3,75,5,100,CRITICAL
HIST_0353,M005,6,5,63,23,7,3,65,6,100,CRITICAL
HIST_0354,M001,12,6,68,3,3,8,56,8,100,CRITICAL
HIST_0355,M007,11,7,90,6,7,4,98,1,100,CRITICAL
HIST_0356,M007,10,7,53,20,4,3,61,2,100,CRITICAL
HIST_0357,M007,12,6,49,14,7,6,79,8,100,CRITICAL
HIST_0358,M002,8,0,95,30,5,8,83,1,100,CRITICAL
HIST_0359,M010,12,3,87,21,5,2,86,0,100,CRITICAL
HIST_0360,M002,10,10,86,12,5,6,51,0,100,CRITICAL
HIST_0361,M008,4,3,77,23,8,8,82,3,100,CRITICAL
HIST_0362,M008,5,6,74,24,8,2,67,0,100,CRITICAL
HIST_0363,M006,1,4,71,29,1,1,98,2,75.95,CRITICAL
HIST_0364,M008,4,5,74,25,3,8,75,5,100,CRITICAL
HIST_0365,M001,1,7,91,22,7,5,49,4,100,CRITICAL
HIST_0366,M004,12,1,46,27,5,1,88,2,100,CRITICAL
HIST_0367,M004,8,2,80,5,5,8,72,7,100,CRITICAL
HIST_0368,M010,12,6,85,5,2,6,70,0,99.75,CRITICAL
HIST_0369,M004,3,7,82,13,6,0,90,3,88.4,CRITICAL
HIST_0370,M004,4,1,81,3,8,2,68,5,78.25,CRITICAL
HIST_0371,M010,7,1,61,21,7,8,85,5,100,CRITICAL
HIST_0372,M010,6,9,70,18,1,5,67,7,100,CRITICAL
HIST_0373,M006,2,10,90,25,4,1,88,2,100,CRITICAL
HIST_0374,M009,1,3,64,3,2,5,89,2,58.45,HIGH
HIST_0375,M009,6,6,83,4,6,6,56,7,100,CRITICAL
HIST_0376,M003,11,10,56,17,2,7,63,2,100,CRITICAL
HIST_0377,M004,5,7,84,1,5,0,76,2,76.8,CRITICAL
HIST_0378,M007,6,8,77,20,7,6,88,7,100,CRITICAL
HIST_0379,M005,11,7,76,5,1,0,95,3,88.65,CRITICAL
HIST_0380,M010,0,4,59,17,4,2,94,7,90.25,CRITICAL
HIST_0381,M006,11,7,80,16,1,1,62,8,100,CRITICAL
HIST_0382,M002,8,0,93,23,7,8,58,6,100,CRITICAL
HIST_0383,M006,11,10,93,7,4,0,73,4,100,CRITICAL
HIST_0384,M010,1,7,100,3,3,3,96,5,67.1,HIGH
HIST_0385,M001,10,6,55,19,2,3,97,3,100,CRITICAL
HIST_0386,M005,9,5,79,8,8,2,65,4,100,CRITICAL
HIST_0387,M001,9,4,99,16,1,2,93,6,90.3,CRITICAL
HIST_0388,M004,4,10,53,22,2,3,54,5,100,CRITICAL
HIST_0389,M007,12,10,70,15,2,4,85,6,100,CRITICAL
